,RunId,iteration,Step,schedule_type,cooperadores_iniciais,Cooperating_Agents,Maior_Score_Agentes,Menor_Score_Agentes,Diferenca_Score_Agentes
175,175,7,100,Simultaneous,2500,2500,800.0,800.0,0.0
176,176,8,100,Random,0,0,0.0,0.0,0.0
177,177,8,100,Random,250,2464,800.0,272.624156491514,527.375843508486
178,178,8,100,Random,500,2494,798.0,484.36126854720163,313.63873145279837
179,179,8,100,Random,750,2437,800.0,299.2195573783889,500.7804426216111
180,180,8,100,Random,1000,2445,800.0,298.96336828332755,501.03663171667245
181,181,8,100,Random,1250,2450,799.0,319.087070176167,479.912929823833
182,182,8,100,Random,1500,0,41.3616849016819,0.0,41.3616849016819
183,183,8,100,Random,1750,0,69.41206401719728,0.0,69.41206401719728
184,184,8,100,Random,2000,0,44.79387487011216,0.0,44.79387487011216
185,185,8,100,Random,2250,0,48.087155310204025,0.0,48.087155310204025
186,186,8,100,Random,2500,2500,800.0,800.0,0.0
187,187,8,100,Simultaneous,0,0,0.0,0.0,0.0
188,188,8,100,Simultaneous,250,0,11.17377049180328,0.0,11.17377049180328
189,189,8,100,Simultaneous,500,0,10.41081081081081,0.0,10.41081081081081
190,190,8,100,Simultaneous,750,0,71.08148148148148,0.0,71.08148148148148
191,191,8,100,Simultaneous,1000,2136,798.0,86.43145047474555,711.5685495252544
192,192,8,100,Simultaneous,1250,2092,797.0,27.19200158572772,769.8079984142723
193,193,8,100,Simultaneous,1500,2138,798.0,23.582572568330733,774.4174274316692
194,194,8,100,Simultaneous,1750,2092,800.0,168.52327184229316,631.4767281577068
195,195,8,100,Simultaneous,2000,2024,800.0,148.8379972843359,651.1620027156641
196,196,8,100,Simultaneous,2250,1845,800.0,26.168082650564497,773.8319173494355
197,197,8,100,Simultaneous,2500,2500,800.0,800.0,0.0
198,198,9,100,Random,0,0,0.0,0.0,0.0
199,199,9,100,Random,250,2495,800.0,516.1876401838354,283.81235981616464
200,200,9,100,Random,500,2423,800.0,302.30474843133726,497.69525156866274
201,201,9,100,Random,750,2440,799.0,184.98852900144925,614.0114709985507
202,202,9,100,Random,1000,2424,794.7152709359606,286.7975520937313,507.91771884222925
203,203,9,100,Random,1250,2429,800.0,302.05893171368564,497.94106828631436
204,204,9,100,Random,1500,2428,798.9114860480208,261.74499198841715,537.1664940596037
205,205,9,100,Random,1750,2411,791.8649006622517,261.75905515083866,530.105845511413
206,206,9,100,Random,2000,0,37.72696661155707,0.0,37.72696661155707
207,207,9,100,Random,2250,2457,800.0,281.04682654927007,518.95317345073
208,208,9,100,Random,2500,2500,800.0,800.0,0.0
209,209,9,100,Simultaneous,0,0,0.0,0.0,0.0
210,210,9,100,Simultaneous,250,10,596.5443775377772,0.0,596.5443775377772
211,211,9,100,Simultaneous,500,0,10.514285714285716,0.0,10.514285714285716
212,212,9,100,Simultaneous,750,27,797.0,0.0,797.0
213,213,9,100,Simultaneous,1000,0,58.960562052729856,0.0,58.960562052729856
214,214,9,100,Simultaneous,1250,2,557.7396825396826,0.0,557.7396825396826
215,215,9,100,Simultaneous,1500,2181,799.0,70.92011380986824,728.0798861901318
216,216,9,100,Simultaneous,1750,2115,800.0,16.474167454735202,783.5258325452648
217,217,9,100,Simultaneous,2000,2043,800.0,114.314000210162,685.685999789838
218,218,9,100,Simultaneous,2250,1931,800.0,134.9936225636322,665.0063774363678
219,219,9,100,Simultaneous,2500,2500,800.0,800.0,0.0
220,220,10,100,Random,0,0,0.0,0.0,0.0
221,221,10,100,Random,250,2451,799.0,376.13933835587363,422.86066164412637
222,222,10,100,Random,500,2483,800.0,382.6172303703131,417.3827696296869
223,223,10,100,Random,750,2390,800.0,250.54494480988336,549.4550551901166
224,224,10,100,Random,1000,2452,800.0,250.05302395198586,549.9469760480141
